SKU code,Product name,Product description,Product Category,Product Subcategory,Quantity on hand,Reorder Quantity,Unit price,Product rating
GGB-FD0TVBDI,Snackify Beverages Family Pack,"Snackify Beverages with Gluten?free, Suitable for vegetarians, Imported. Priced competitively at $3.00.",Groceries & Gourmet,Beverages,308,13,3,3.6
BC-KH1DNMMJ,BlueCedar Children Collection,"BlueCedar Children with Hardcover, 307 pages, English language. Priced competitively at $31.99.",Books,Children,22,103,31.99,4
HKHD-ZBIKCIDK,BrightNest Home Decor Pro,"BrightNest Home Decor with Non?stick, Energy?efficient, Easy to clean. Priced competitively at $68.00.",Home & Kitchen,Home Decor,325,116,68,3.9
HS-FN9XUY41,CarePlus Supplements Max,"CarePlus Supplements with GMP certified, Easy?read display, Child?safe cap. Priced competitively at $105.90.",Health,Supplements,117,115,105.9,4.5
F-T-R5XFF0T0,Stone&Co Tops Weekend,"Stone&Co Tops with Breathable fabric, Relaxed fit, Hand wash cold. Priced competitively at $29.00.",Fashion - Men,Tops,219,84,29,4
HKC-2PCN9T84,SwiftClean Cookware Pro,"SwiftClean Cookware with Dishwasher?safe, Energy?efficient, Heat?resistant up to 230°C. Priced competitively at $331.90.",Home & Kitchen,Cookware,5,97,331.9,4.4
F-F-AZZ81SDW,Stone&Co Footwear Active,"Stone&Co Footwear with Four?way stretch, Regular fit, Dry clean recommended. Priced competitively at $45.95.",Fashion - Men,Footwear,430,91,45.95,3.9
PSD-753LC58D,PawJoy Dog Complete,"PawJoy Dog with Vet?recommended, For large breeds, No artificial colours. Priced competitively at $152.95.",Pet Supplies,Dog,248,114,152.95,4.2
BPF-5PHT0HL9,Velour Fragrances Strength,"Velour Fragrances with Dermatologist?tested, For sensitive skin, Hyaluronic acid. Priced competitively at $373.90.",Beauty & Personal Care,Fragrances,332,57,373.9,3.8
HKB-AZCCBLSK,BrightNest Bedding Pro,"BrightNest Bedding with Non?stick, Energy?efficient, Heat?resistant up to 230°C. Priced competitively at $18.90.",Home & Kitchen,Bedding,248,37,18.9,4.4
BC&-DPPQ0Y9D,NorthStar Comics & Manga Series,"NorthStar Comics & Manga with Paperback, 376 pages, English language. Priced competitively at $13.95.",Books,Comics & Manga,206,103,13.95,3.8
PSSP-I7P5TB94,AquaScape Small Pets Comfort,"AquaScape Small Pets with Vet?recommended, Suitable for all breeds, High?protein. Priced competitively at $21.90.",Pet Supplies,Small Pets,496,21,21.9,4.9
AT&-N9J2QP89,AutoZen Tools & Equipment Ultimate,"AutoZen Tools & Equipment with Microfiber material, Universal fit, Meets OEM specs. Priced competitively at $124.95.",Automotive,Tools & Equipment,284,94,124.95,4.2
BT-S4F8CGVY,Maple Press Textbooks Vol.1,"Maple Press Textbooks with Paperback, 432 pages, English language. Priced competitively at $26.00.",Books,Textbooks,120,61,26,4
BF-7HZIOYKL,Sunrise House Fiction Collection,"Sunrise House Fiction with Paperback, 255 pages, English language. Priced competitively at $30.95.",Books,Fiction,384,19,30.95,4.8
SOY&-NF4ZW9XA,TrailForge Yoga & Wellness Elite,"TrailForge Yoga & Wellness with Anti?slip grip, Foldable for storage, Beginner friendly. Priced competitively at $55.00.",Sports & Outdoors,Yoga & Wellness,418,80,55,4.2
BPM-FKHMY4SJ,UrbanMan Makeup Strength,"UrbanMan Makeup with Sulfate?free, For all skin types, Vitamin C. Priced competitively at $18.99.",Beauty & Personal Care,Makeup,464,118,18.99,4.7
F-O-PZUE8YFB,Velvete Outerwear Weekend,"Velvete Outerwear with Breathable fabric, Slim fit, Machine washable. Priced competitively at $83.00.",Fashion - Women,Outerwear,189,84,83,4.4
ES-YMU5907I,Zenbyte Watch X 5,"Zenbyte Smartwatches with 76GB storage, 6GB RAM, USB?C. Priced competitively at $334.99.",Electronics,Smartwatches,83,112,334.99,4.5
F-B-4I3QK2IA,AxisWear Bottoms Classic,"AxisWear Bottoms with Four?way stretch, Slim fit, Machine washable. Priced competitively at $150.99.",Fashion - Men,Bottoms,98,61,150.99,3.4
F-F-7E8G8JDP,Cobalt Lane Footwear Premium,"Cobalt Lane Footwear with 100% cotton, Slim fit, Dry clean recommended. Priced competitively at $232.95.",Fashion - Men,Footwear,373,110,232.95,4
SOC-7TZ0YNCX,TrailForge Cycling X,"TrailForge Cycling with Anti?slip grip, Foldable for storage, Beginner friendly. Priced competitively at $48.95.",Sports & Outdoors,Cycling,169,89,48.95,4.7
HPC-ZTGXN0GU,Healio Personal Care Care,"Healio Personal Care with GMP certified, Easy?read display, Latex?free. Priced competitively at $42.95.",Health,Personal Care,207,80,42.95,4.4
BC-280XKXWD,BlueCedar Children Vol.9,"BlueCedar Children with Paperback, 497 pages, English language. Priced competitively at $18.95.",Books,Children,487,106,18.95,3.9
SOC&-4COWGZRI,FlexiFit Camping & Hiking X,"FlexiFit Camping & Hiking with Lightweight frame, Weather?resistant, Beginner friendly. Priced competitively at $17.90.",Sports & Outdoors,Camping & Hiking,335,98,17.9,4.9
BPGT-EQTUL1P3,Lumina Grooming Tools Glow,"Lumina Grooming Tools with Cruelty?free, For oily skin, Hyaluronic acid. Priced competitively at $97.90.",Beauty & Personal Care,Grooming Tools,456,74,97.9,4.2
HFA-RIPZIM6C,Healio First Aid Advanced,"Healio First Aid with GMP certified, Once?daily usage, Child?safe cap. Priced competitively at $30.90.",Health,First Aid,77,39,30.9,4
TGAF-3O18A5UR,PlaySmith Action Figures Explorer,"PlaySmith Action Figures with Ages 36, Family game night, No batteries required. Priced competitively at $69.95.",Toys & Games,Action Figures,482,55,69.95,4.4
PSA-JRNY2047,HappyPaws Accessories Grain?Free,"HappyPaws Accessories with Natural ingredients, For large breeds, No artificial colours. Priced competitively at $112.90.",Pet Supplies,Accessories,318,78,112.9,4.6
HKV&-JLQM5K8P,ChefMate Vacuum & Cleaning Set,"ChefMate Vacuum & Cleaning with BPA?free, Ergonomic handle, Heat?resistant up to 230°C. Priced competitively at $295.95.",Home & Kitchen,Vacuum & Cleaning,427,20,295.95,4.3
PSD-2X18HAFE,WhiskerWorks Dog Complete,"WhiskerWorks Dog with Natural ingredients, For small breeds, High?protein. Priced competitively at $299.00.",Pet Supplies,Dog,342,24,299,3.9
BPGT-DALY8OZC,AquaDerm Grooming Tools Matte,"AquaDerm Grooming Tools with Paraben?free, For all skin types, Niacinamide. Priced competitively at $133.99.",Beauty & Personal Care,Grooming Tools,353,116,133.99,4.1
GGHF-PNSM43D8,MorningMills Health Foods,"MorningMills Health Foods with Low sugar, Keto friendly, Imported. Priced competitively at $75.99.",Groceries & Gourmet,Health Foods,325,116,75.99,4
BT-LI7KQ1UY,NorthStar Textbooks Collection,"NorthStar Textbooks with Hardcover, 512 pages, English language. Priced competitively at $149.95.",Books,Textbooks,172,13,149.95,4.3
AIA-5ZJA8DZR,TorquePro Interior Accessories Essential,"TorquePro Interior Accessories with Microfiber material, Compact storage case, Meets OEM specs. Priced competitively at $78.00.",Automotive,Interior Accessories,388,40,78,4
HKB-URTP0LZJ,Nordica Bedding,"Nordica Bedding with Dishwasher?safe, Energy?efficient, Includes user guide. Priced competitively at $58.90.",Home & Kitchen,Bedding,128,39,58.9,3.7
F-D-0JV1V93K,Velvete Dresses Essential,"Velvete Dresses with Breathable fabric, Slim fit, Machine washable. Priced competitively at $343.90.",Fashion - Women,Dresses,184,32,343.9,4
ESH-DAKRM8J5,Cresta Door Sensor,"Cresta Smart Home with 97GB storage, 10GB RAM, NFC support. Priced competitively at $99.90.",Electronics,Smart Home,58,115,99.9,4.8
BPHC-E1V2ISQP,Lumina Hair Care Repair,"Lumina Hair Care with Dermatologist?tested, For all skin types, Hyaluronic acid. Priced competitively at $189.00.",Beauty & Personal Care,Hair Care,440,85,189,4.5
GGS-GCAQVKIZ,Snackify Snacks Family Pack,"Snackify Snacks with Gluten?free, Suitable for vegetarians, Locally sourced. Priced competitively at $9.99.",Groceries & Gourmet,Snacks,359,120,9.99,4.2
F-O-TX63CFL0,AxisWear Outerwear Classic,"AxisWear Outerwear with Four?way stretch, Relaxed fit, Hand wash cold. Priced competitively at $304.90.",Fashion - Men,Outerwear,291,46,304.9,3.8
F-O-BPLJD84U,UrbanCut Outerwear Signature,"UrbanCut Outerwear with Four?way stretch, Relaxed fit, Machine washable. Priced competitively at $242.95.",Fashion - Men,Outerwear,486,12,242.95,4.4
BPF-9P38QOLD,Velour Fragrances Repair,"Velour Fragrances with Cruelty?free, For all skin types, Argan oil. Priced competitively at $181.95.",Beauty & Personal Care,Fragrances,82,52,181.95,3.8
HKB-3A5QBSWR,Homely Bedding Plus,"Homely Bedding with Dishwasher?safe, Ergonomic handle, Easy to clean. Priced competitively at $65.99.",Home & Kitchen,Bedding,226,107,65.99,4.4
PSC-BW2ZLAOI,HappyPaws Cat Complete,"HappyPaws Cat with Vet?recommended, For small breeds, Low?odor. Priced competitively at $270.95.",Pet Supplies,Cat,430,24,270.95,4
F-O-ITN7S55J,AxisWear Outerwear Active,"AxisWear Outerwear with Water?resistant, Slim fit, Dry clean recommended. Priced competitively at $328.95.",Fashion - Men,Outerwear,404,119,328.95,4.2
F-T-9RFTMTTQ,Cobalt Lane Tops Signature,"Cobalt Lane Tops with Water?resistant, Regular fit, Hand wash cold. Priced competitively at $38.00.",Fashion - Men,Tops,164,34,38,4.5
ET-8E8LD4D6,"HeliosTech Tab 11""","HeliosTech Tablets with 137GB storage, 10GB RAM, Wi?Fi 6. Priced competitively at $1103.95.",Electronics,Tablets,7,102,1103.95,4.2
F-F-44NLZ15B,UrbanCut Footwear Premium,"UrbanCut Footwear with Breathable fabric, Relaxed fit, Machine washable. Priced competitively at $224.95.",Fashion - Men,Footwear,35,40,224.95,3.6
TGBS-Y6B2KNFT,FunFoundry Building Sets Explorer,"FunFoundry Building Sets with Ages 8+, STEM learning, Includes instructions. Priced competitively at $210.99.",Toys & Games,Building Sets,289,97,210.99,3.5
HKHD-FQJJA26Y,Homely Home Decor Plus,"Homely Home Decor with Stainless steel, Energy?efficient, Easy to clean. Priced competitively at $250.90.",Home & Kitchen,Home Decor,80,19,250.9,3.9
HPC-4DNMKZA3,MediSure Personal Care Care,"MediSure Personal Care with GMP certified, Portable design, Latex?free. Priced competitively at $37.00.",Health,Personal Care,202,45,37,4.3
HS-VMWWYZX4,Healio Supplements Max,"Healio Supplements with CE?marked, Easy?read display, Includes carrying case. Priced competitively at $176.95.",Health,Supplements,321,22,176.95,4.7
BC-GET8T63J,InkWave Children Vol.6,"InkWave Children with Hardcover, 526 pages, English language. Priced competitively at $28.99.",Books,Children,422,71,28.99,3.9
ACC-N2ATQYYV,CleanRide Car Care Care,"CleanRide Car Care with All?season formula, Compact storage case, Meets OEM specs. Priced competitively at $21.90.",Automotive,Car Care,421,91,21.9,4.4
BT-XEBB9EIT,Maple Press Textbooks Collection,"Maple Press Textbooks with Hardcover, 609 pages, English language. Priced competitively at $65.90.",Books,Textbooks,198,68,65.9,4.1
HMD-O8BNP84D,PureAid Medical Devices Advanced,"PureAid Medical Devices with CE?marked, Once?daily usage, Child?safe cap. Priced competitively at $258.99.",Health,Medical Devices,351,57,258.99,3.1
F-B-HX8BM92H,UrbanCut Bottoms Weekend,"UrbanCut Bottoms with Breathable fabric, Relaxed fit, Machine washable. Priced competitively at $191.95.",Fashion - Men,Bottoms,424,107,191.95,3.9
SOC-9T2D5EM2,PeakPro Cycling Elite,"PeakPro Cycling with Sweat?wicking, Foldable for storage, Pro grade. Priced competitively at $1061.99.",Sports & Outdoors,Cycling,301,51,1061.99,4.5
PSD-SDS8B25S,HappyPaws Dog Natural,"HappyPaws Dog with Vet?recommended, Suitable for all breeds, High?protein. Priced competitively at $202.95.",Pet Supplies,Dog,234,92,202.95,4.2
TGST-6LFEWVZN,FunFoundry STEM Toys Starter,"FunFoundry STEM Toys with Ages 36, STEM learning, Batteries included. Priced competitively at $184.95.",Toys & Games,STEM Toys,305,77,184.95,4.1
HKV&-5O3O0LLJ,Homely Vacuum & Cleaning Deluxe,"Homely Vacuum & Cleaning with BPA?free, Ergonomic handle, Includes user guide. Priced competitively at $473.90.",Home & Kitchen,Vacuum & Cleaning,488,29,473.9,4.7
HKC-C8UYO57P,ChefMate Cookware Plus,"ChefMate Cookware with Stainless steel, Compact design, Includes user guide. Priced competitively at $148.00.",Home & Kitchen,Cookware,468,102,148,4.5
BT-4N1U3493,BlueCedar Textbooks Collection,"BlueCedar Textbooks with Paperback, 453 pages, English language. Priced competitively at $47.95.",Books,Textbooks,314,96,47.95,4.3
BPM-A5UOFWB0,Velour Makeup Matte,"Velour Makeup with Sulfate?free, For dry skin, Niacinamide. Priced competitively at $126.00.",Beauty & Personal Care,Makeup,110,58,126,3.9
BT-YJXRPJ1E,BlueCedar Textbooks Series,"BlueCedar Textbooks with Hardcover, 678 pages, English language. Priced competitively at $29.99.",Books,Textbooks,220,24,29.99,4.4
GGPS-AKHEJLA0,VitaBurst Pantry Staples Organic,"VitaBurst Pantry Staples with High fibre, Suitable for vegetarians, Imported. Priced competitively at $4.95.",Groceries & Gourmet,Pantry Staples,89,26,4.95,3.7
HS-UUZPEAL2,VitalEdge Supplements Daily,"VitalEdge Supplements with Clinically tested, Easy?read display, Includes carrying case. Priced competitively at $70.95.",Health,Supplements,316,68,70.95,4.6
TGBS-OLMLGSES,KidLabs Building Sets Starter,"KidLabs Building Sets with Ages 12+, STEM learning, Includes instructions. Priced competitively at $56.95.",Toys & Games,Building Sets,463,109,56.95,3.8
HKSA-1XG1R11Q,BrightNest Small Appliances Pro,"BrightNest Small Appliances with Stainless steel, Energy?efficient, Easy to clean. Priced competitively at $163.90.",Home & Kitchen,Small Appliances,473,82,163.9,4.7
BPF-2VMCQBNK,UrbanMan Fragrances Matte,"UrbanMan Fragrances with Cruelty?free, For oily skin, Vitamin C. Priced competitively at $34.95.",Beauty & Personal Care,Fragrances,330,120,34.95,4.4
AO&-S8Q349DX,SteelLine Oils & Fluids Shield,"SteelLine Oils & Fluids with Heavy?duty steel, Compact storage case, 12?month warranty. Priced competitively at $87.00.",Automotive,Oils & Fluids,20,41,87,4.2
PSA-N1YBWMLU,AquaScape Accessories Natural,"AquaScape Accessories with Natural ingredients, Suitable for all breeds, High?protein. Priced competitively at $80.00.",Pet Supplies,Accessories,197,46,80,4.2
HKHD-ZOV7LN23,Nordica Home Decor,"Nordica Home Decor with Dishwasher?safe, Energy?efficient, Heat?resistant up to 230°C. Priced competitively at $177.00.",Home & Kitchen,Home Decor,343,99,177,5
TGP-8M1G9FK2,BrainSpark Puzzles Explorer,"BrainSpark Puzzles with Ages 12+, STEM learning, Batteries included. Priced competitively at $31.00.",Toys & Games,Puzzles,259,108,31,3.6
F-O-GYW6ZBNZ,Velvete Outerwear Essential,"Velvete Outerwear with Four?way stretch, Relaxed fit, Hand wash cold. Priced competitively at $385.95.",Fashion - Women,Outerwear,496,66,385.95,4
SOY&-YUP12SPF,AeroStride Yoga & Wellness Core,"AeroStride Yoga & Wellness with Lightweight frame, Foldable for storage, Pro grade. Priced competitively at $49.95.",Sports & Outdoors,Yoga & Wellness,102,112,49.95,3.6
F-A-1J6FP8HQ,Citrine Accessories Classic,"Citrine Accessories with Water?resistant, Regular fit, Hand wash cold. Priced competitively at $227.99.",Fashion - Women,Accessories,178,13,227.99,3.7
PSA-B74X2EK3,AquaScape Aquatic Grain?Free,"AquaScape Aquatic with Grain?free, For large breeds, No artificial colours. Priced competitively at $62.99.",Pet Supplies,Aquatic,356,116,62.99,4.6
HKC-VP1IEIXW,BrightNest Cookware,"BrightNest Cookware with BPA?free, Energy?efficient, Heat?resistant up to 230°C. Priced competitively at $87.90.",Home & Kitchen,Cookware,32,24,87.9,4.7
ESH-AMUGYSM8,Zenbyte Door Sensor,"Zenbyte Smart Home with 74GB storage, 10GB RAM, NFC support. Priced competitively at $204.90.",Electronics,Smart Home,278,74,204.9,4.3
F-B-IXDU1EMM,Asteria Bottoms Premium,"Asteria Bottoms with Water?resistant, Relaxed fit, Hand wash cold. Priced competitively at $175.00.",Fashion - Women,Bottoms,329,32,175,3.7
GGS-KBHB7S9T,RiverLeaf Snacks Organic,"RiverLeaf Snacks with High fibre, Suitable for vegetarians, Imported. Priced competitively at $30.99.",Groceries & Gourmet,Snacks,129,14,30.99,4.2
F-T-P8MGYN2J,AxisWear Tops Weekend,"AxisWear Tops with Water?resistant, Regular fit, Hand wash cold. Priced competitively at $114.95.",Fashion - Men,Tops,42,103,114.95,3.9
BN-XLVPYMB5,Maple Press Non?Fiction Collection,"Maple Press Non?Fiction with Paperback, 256 pages, English language. Priced competitively at $41.00.",Books,Non?Fiction,180,88,41,4.5
GGB-4YPEIXN8,GoodGrain Breakfast Family Pack,"GoodGrain Breakfast with Low sugar, Keto friendly, Imported. Priced competitively at $12.90.",Groceries & Gourmet,Breakfast,16,87,12.9,4.2
F-B-TOXIE0RN,Seraphine Bottoms Essential,"Seraphine Bottoms with Water?resistant, Regular fit, Dry clean recommended. Priced competitively at $98.99.",Fashion - Women,Bottoms,287,25,98.99,4.2
F-A-GZ9389YZ,UrbanCut Accessories Active,"UrbanCut Accessories with Four?way stretch, Slim fit, Machine washable. Priced competitively at $29.90.",Fashion - Men,Accessories,281,79,29.9,4.5
HMD-2IRMUQ9E,VitalEdge Medical Devices Max,"VitalEdge Medical Devices with Clinically tested, Portable design, Child?safe cap. Priced competitively at $227.90.",Health,Medical Devices,452,21,227.9,4.6
PSSP-XQYM52XG,WhiskerWorks Small Pets Natural,"WhiskerWorks Small Pets with Grain?free, For large breeds, No artificial colours. Priced competitively at $141.99.",Pet Supplies,Small Pets,494,26,141.99,4.4
HKHD-7I8SKCH8,ChefMate Home Decor Essential,"ChefMate Home Decor with Dishwasher?safe, Energy?efficient, Heat?resistant up to 230°C. Priced competitively at $36.90.",Home & Kitchen,Home Decor,140,26,36.9,3.8
BPGT-W6M7B5C8,AquaDerm Grooming Tools Calm,"AquaDerm Grooming Tools with Sulfate?free, For sensitive skin, Argan oil. Priced competitively at $230.90.",Beauty & Personal Care,Grooming Tools,394,83,230.9,3.8
BF-2YKCCPRH,InkWave Fiction Edition,"InkWave Fiction with Hardcover, 588 pages, English language. Priced competitively at $24.00.",Books,Fiction,310,28,24,4
F-A-EQFB85P8,Velvete Accessories Active,"Velvete Accessories with Four?way stretch, Relaxed fit, Dry clean recommended. Priced competitively at $117.00.",Fashion - Women,Accessories,461,30,117,4.8
F-T-RLA8S8HM,Seraphine Tops Active,"Seraphine Tops with Water?resistant, Slim fit, Dry clean recommended. Priced competitively at $142.95.",Fashion - Women,Tops,25,46,142.95,3.4
EL-BUNKNQT3,"Cresta Note 16"" 2021","Cresta Laptops with 376GB storage, 5GB RAM, Wi?Fi 6. Priced competitively at $1678.00.",Electronics,Laptops,319,97,1678,4.2
F-O-VOBBZ2SF,Velvete Outerwear Essential,"Velvete Outerwear with Four?way stretch, Regular fit, Hand wash cold. Priced competitively at $687.00.",Fashion - Women,Outerwear,457,75,687,4.8
BC-3NY9V20Y,Sunrise House Children Vol.5,"Sunrise House Children with Hardcover, 451 pages, English language. Priced competitively at $23.95.",Books,Children,13,86,23.95,4.9
BT-SZ1N3IUZ,Sunrise House Textbooks Edition,"Sunrise House Textbooks with Hardcover, 388 pages, English language. Priced competitively at $49.99.",Books,Textbooks,97,12,49.99,3.8
PSA-HLXSLG6M,WhiskerWorks Accessories Care,"WhiskerWorks Accessories with Natural ingredients, For large breeds, Low?odor. Priced competitively at $134.99.",Pet Supplies,Accessories,181,96,134.99,4.4
HPC-UI9KKHZL,MediSure Personal Care Daily,"MediSure Personal Care with CE?marked, Easy?read display, Includes carrying case. Priced competitively at $53.90.",Health,Personal Care,178,81,53.9,4.9
BT-B8C7X0H3,InkWave Textbooks Collection,"InkWave Textbooks with Hardcover, 320 pages, English language. Priced competitively at $74.95.",Books,Textbooks,138,81,74.95,3.9
BT-BOZD1AT7,Sunrise House Textbooks Edition,"Sunrise House Textbooks with Hardcover, 384 pages, English language. Priced competitively at $51.99.",Books,Textbooks,208,93,51.99,5
F-B-T076G5G7,Seraphine Bottoms Essential,"Seraphine Bottoms with Water?resistant, Regular fit, Dry clean recommended. Priced competitively at $148.99.",Fashion - Women,Bottoms,428,60,148.99,3.9
F-T-QXS6ESJ3,Mariner Tops Premium,"Mariner Tops with Breathable fabric, Regular fit, Dry clean recommended. Priced competitively at $10.99.",Fashion - Men,Tops,169,30,10.99,4.1
F-O-463SDYGF,Velvete Outerwear Signature,"Velvete Outerwear with 100% cotton, Slim fit, Hand wash cold. Priced competitively at $170.90.",Fashion - Women,Outerwear,165,41,170.9,3.6
SOTS-0AXYCELO,PeakPro Team Sports X,"PeakPro Team Sports with Anti?slip grip, Weather?resistant, Competition size. Priced competitively at $343.00.",Sports & Outdoors,Team Sports,257,100,343,4.3
SOC&-0VOTQTXH,AeroStride Camping & Hiking Lite,"AeroStride Camping & Hiking with Lightweight frame, Foldable for storage, Pro grade. Priced competitively at $753.95.",Sports & Outdoors,Camping & Hiking,126,97,753.95,3.6
PSA-6HTF4PYZ,PawJoy Aquatic Care,"PawJoy Aquatic with Vet?recommended, For small breeds, No artificial colours. Priced competitively at $20.99.",Pet Supplies,Aquatic,250,21,20.99,4.5
PSSP-YLAJAHCP,Nibble&Nest Small Pets Comfort,"Nibble&Nest Small Pets with Natural ingredients, Suitable for all breeds, No artificial colours. Priced competitively at $74.99.",Pet Supplies,Small Pets,358,18,74.99,3.9
ACC-N6Q7NC85,RoadSure Car Care Shield,"RoadSure Car Care with Heavy?duty steel, Compact storage case, Quick?dry. Priced competitively at $43.90.",Automotive,Car Care,68,93,43.9,4.3
BPHC-YTT3IMJ7,Velour Hair Care Glow,"Velour Hair Care with Dermatologist?tested, For all skin types, Argan oil. Priced competitively at $196.99.",Beauty & Personal Care,Hair Care,371,107,196.99,4
BF-QY5IBPT1,Maple Press Fiction Series,"Maple Press Fiction with Paperback, 506 pages, English language. Priced competitively at $14.99.",Books,Fiction,397,17,14.99,5
BC-KC856WPR,Sunrise House Children Vol.4,"Sunrise House Children with Hardcover, 717 pages, English language. Priced competitively at $11.90.",Books,Children,497,54,11.9,5
HFA-1R4KZ36U,PureAid First Aid Max,"PureAid First Aid with GMP certified, Easy?read display, Includes carrying case. Priced competitively at $27.00.",Health,First Aid,495,63,27,4
F-H-T3BNVBC2,Citrine Handbags Classic,"Citrine Handbags with Breathable fabric, Slim fit, Machine washable. Priced competitively at $71.95.",Fashion - Women,Handbags,300,102,71.95,4.1
F-B-8E9RIVH6,Velvete Bottoms Essential,"Velvete Bottoms with Four?way stretch, Slim fit, Hand wash cold. Priced competitively at $236.99.",Fashion - Women,Bottoms,282,51,236.99,4.3
F-A-Q46NOUHF,Asteria Accessories Weekend,"Asteria Accessories with Water?resistant, Slim fit, Machine washable. Priced competitively at $211.95.",Fashion - Women,Accessories,133,80,211.95,3.8
SOC-XYJ38XRG,FlexiFit Cycling X,"FlexiFit Cycling with Shock?absorbing, Indoor & outdoor use, Competition size. Priced competitively at $226.90.",Sports & Outdoors,Cycling,407,55,226.9,4.5
GGB-O4IZASNW,GoodGrain Beverages Organic,"GoodGrain Beverages with Gluten?free, Keto friendly, Imported. Priced competitively at $22.99.",Groceries & Gourmet,Beverages,341,88,22.99,4.8
ES-TKSZP7G7,Aureon A11 Max,"Aureon Smartphones with 193GB storage, 9GB RAM, USB?C. Priced competitively at $1025.95.",Electronics,Smartphones,268,29,1025.95,4.2
F-F-Y4X41DNT,Velvete Footwear Premium,"Velvete Footwear with 100% cotton, Relaxed fit, Machine washable. Priced competitively at $193.90.",Fashion - Women,Footwear,28,91,193.9,4.8
HKS&-67I6YUJ7,BrightNest Storage & Organization Set,"BrightNest Storage & Organization with Dishwasher?safe, Ergonomic handle, Easy to clean. Priced competitively at $161.00.",Home & Kitchen,Storage & Organization,350,45,161,4.6
EC-U4YTN02Y,Aureon Z25 Mirrorless,"Aureon Cameras with 445GB storage, 9GB RAM, Bluetooth 5.3. Priced competitively at $1442.95.",Electronics,Cameras,40,74,1442.95,3.9
SOFE-W2QITNGV,PeakPro Fitness Equipment Pro,"PeakPro Fitness Equipment with Sweat?wicking, Foldable for storage, Beginner friendly. Priced competitively at $320.95.",Sports & Outdoors,Fitness Equipment,194,20,320.95,4.2
